Model,Mean_ROC_AUC,Mean_Precision,Mean_F1,DPD,EOD,Fairness
LogisticRegression,0.8429939792008756,0.36,0.10615384615384615,0.02688873626373625,0.07857142857142856,✓ FAIR
NaiveBayes,0.6467364532019705,0.2661673592238108,0.40234215363868764,0.5069109157224291,0.876282051282051,✗ SIGNIFICANT BIAS
KNN,0.7578441434044881,0.5303571428571429,0.40968810601163536,0.2574085122039086,0.5010294117647058,✗ SIGNIFICANT BIAS
RandomForest,0.8229714012041599,0.6635714285714286,0.4490501165501165,0.24633204911977283,0.5583333333333333,✗ SIGNIFICANT BIAS
XGBoost,0.8243363437328954,0.6136904761904761,0.42696078431372547,0.2542238345219207,0.5327380952380952,✗ SIGNIFICANT BIAS
