fold,demographic_parity_difference,equalized_odds_difference
0,0.4723830906318631,0.4500408730795382
1,0.48361043865934805,0.4599593990547792
2,0.5183258454460922,0.5037538975536081
3,0.4795007731142116,0.47111401043071977
4,0.48724576886581694,0.4693017514987657
5,0.49254685649522684,0.5027333131984295
6,0.5201064135659743,0.4918061657082112
7,0.47432904230935474,0.4582773772317975
8,0.481098393047496,0.4718127624983065
9,0.5140246866882123,0.45856546383619173
