model,outer_fold,precision,recall,f1,roc_auc,best_inner_auc,best_params,demographic_parity_difference,equalized_odds_difference
RandomForest,0,0.7314911366006257,0.6257805530776093,0.6745192307692308,0.8992716586309525,0.9022007590302662,{'clf__n_estimators': 200},0.1935827453068832,0.2698412698412699
RandomForest,1,0.7337728194726166,0.6454058876003568,0.6867584242999525,0.9122293543948642,0.897611811827517,{'clf__n_estimators': 200},0.20171393792467918,0.3231326094109905
RandomForest,2,0.7220792588780237,0.6260597947344936,0.6706500956022945,0.8969438109797874,0.9025659685097572,{'clf__n_estimators': 200},0.18671560710615184,0.09536249996074975
RandomForest,3,0.7269938650306749,0.6345381526104418,0.677626876340243,0.9030409779972783,0.9011350010193095,{'clf__n_estimators': 200},0.20845420638209697,0.14207650273224043
RandomForest,4,0.7264690587623505,0.6231043710972346,0.6708283313325331,0.8987314758397396,0.9013319354697051,{'clf__n_estimators': 200},0.18291601212184155,0.5256410256410257
RandomForest,5,0.7131474103585658,0.6387154326494202,0.6738823529411765,0.8980459767251238,0.9011057033163926,{'clf__n_estimators': 200},0.20161560866380446,0.20421940928270044
RandomForest,6,0.7342945417095778,0.6360392506690455,0.6816443594646272,0.9074639173067768,0.8994695145004737,{'clf__n_estimators': 200},0.1953883899626579,0.3848484848484849
RandomForest,7,0.7439537329127235,0.6314145470771977,0.6830798937967656,0.9019899809275156,0.9012003336990607,{'clf__n_estimators': 200},0.18869242687532659,0.203125
RandomForest,8,0.7288569964120963,0.6345381526104418,0.6784351145038168,0.9018265231045207,0.9014777275836807,{'clf__n_estimators': 200},0.23767784552845528,0.45666666666666667
RandomForest,9,0.7320295983086681,0.6177520071364853,0.6700532172230286,0.9001139928147281,0.9012271535136703,{'clf__n_estimators': 200},0.17413493683701115,0.12259496793290581
