model,outer_fold,precision,recall,f1,roc_auc,best_inner_auc,best_params,demographic_parity_difference,equalized_odds_difference
KNN,0,0.6743002544529262,0.5909901873327387,0.6299025433800808,0.8621545330200783,0.8708596950829631,"{'clf__n_neighbors': 7, 'selector__k': 10}",0.19946433817137582,0.380952380952381
KNN,1,0.7032854209445585,0.6110615521855486,0.6539379474940334,0.8767869569533199,0.8683953486272521,"{'clf__n_neighbors': 7, 'selector__k': 10}",0.24108562926478888,0.32222222222222224
KNN,2,0.6911217437533227,0.5800981704596162,0.6307617661329452,0.8671264016327942,0.8691809581552175,"{'clf__n_neighbors': 7, 'selector__k': 10}",0.18569842901189254,0.21409214092140927
KNN,3,0.6746237675142709,0.5800981704596162,0.6238003838771593,0.866710213877215,0.8705876677604918,"{'clf__n_neighbors': 7, 'selector__k': 10}",0.21566054243219596,0.1901408450704225
KNN,4,0.6773547094188377,0.6030330062444246,0.6380368098159509,0.8677680726217638,0.8697762840539114,"{'clf__n_neighbors': 7, 'selector__k': 10}",0.18637378603166865,0.17971014492753618
KNN,5,0.6761421319796954,0.5941123996431757,0.6324786324786325,0.8663018020989062,0.8694181530193464,"{'clf__n_neighbors': 7, 'selector__k': 10}",0.248093058733791,0.3345388788426763
KNN,6,0.7067156348373557,0.6008028545941124,0.6494696239151398,0.8755725520160007,0.869375156274689,"{'clf__n_neighbors': 7, 'selector__k': 10}",0.20002631898206308,0.4
KNN,7,0.6868475991649269,0.5872378402498885,0.6331489054606687,0.8704967353366625,0.8687633149769755,"{'clf__n_neighbors': 7, 'selector__k': 10}",0.19747709568500546,0.434375
KNN,8,0.6847826086956522,0.5903614457831325,0.6340762041696621,0.8670312261507854,0.8698766160585704,"{'clf__n_neighbors': 7, 'selector__k': 10}",0.2682926829268293,0.36000000000000004
KNN,9,0.6858337689492943,0.5851917930419268,0.6315282791817087,0.8657748376992546,0.8731594084476294,"{'clf__n_neighbors': 7, 'selector__k': 10}",0.17506555489422773,0.17499999999999993
