fold,demographic_parity_difference,equalized_odds_difference
0,0.19946433817137582,0.380952380952381
1,0.24108562926478888,0.32222222222222224
2,0.18569842901189254,0.21409214092140927
3,0.21566054243219596,0.1901408450704225
4,0.18637378603166865,0.17971014492753618
5,0.248093058733791,0.3345388788426763
6,0.20002631898206308,0.4
7,0.19747709568500546,0.434375
8,0.2682926829268293,0.36000000000000004
9,0.17506555489422773,0.17499999999999993
