column,count,mean,std,min,25%,50%,75%,max
age,48842.0,38.64358543876172,13.710509934443557,17.0,28.0,37.0,48.0,90.0
education_num,48842.0,189664.13459727284,105604.02542315728,12285.0,117550.5,178144.5,237642.0,1490400.0
capital_loss,48842.0,10.078088530363212,2.5709727555922566,1.0,9.0,10.0,12.0,16.0
